Variety,Description
Yellow Transparent,"Tart, crisp"
Lodi,"Tart, somewhat firm"
Pristine,Sweet-tart
Dandee Red,"Sweet-tart, semi-tender"
Chenango Strawberry,"Mildly tart, hint of strawberry taste and aroma"
Sansa,"Sweet, crunchy, juicy"
Ginger Gold,"G. Delicious type, but tangier"
Zestar!,"Sweet-tart, crunchy, juicy"
St. Edmunds Pippin,"Juicy, crisp, rich flavor"
Summer Rambo,"Juicy, tart, aromatic"
Honeycrisp,"Sweet-tart, very crunchy and juicy"
Burgundy,"Tart, crisp"
Summerset,"Sweet-tart, crisp, juicy"
Blondee,"Sweet, crunchy, juicy"
Gala,"Sweet, crisp"
Pink Pearl,"Sweet-tart, crisp, bright pink flesh"
Swiss Gourmet,"Sweet-tart, juicy"
Sweetie,"Sweet, crunchy"
Sunburst,"Sweet-tart, crispy, juicy"
Twenty Ounce,"Tender, juicy, tart"
Golden Supreme,"Sweet, early G. Delicious type"
Autumn Crisp,"Juicy, sweet-tart, slow to brown"
Crimson Crisp,"Crunchy, sweet, spicy"
McIntosh,"Mildly tart, spicy, very tender"
Rubinola,"Crisp, sweet-tart, doesn't brown"
Cortland,"Mildly tart, tender, slow to brown"
Jonathan,"Tart, firm"
Jonagold,"Sweet-tart, crisp"
Fuji,"Sweet, very crunchy, juicy"
Erwin Bauer,"Tart, very crunchy, complex flavor"
Abbie's Apple,"Sweet-tart, crunchy, fruit punch-like flavor"
Crimson Gold,"Sweet-tart, crisp"
King David,"Spicy, juicy, firm"
Pinova,"Sweet-tart, crisp, juicy"
Spigold,"Crunchy, sweet and tart"
Elstar,"Sweet-tart, crunchy"
Empire,"Sweet, crisp, juicy"
Rosalee,"Sweet, crunchy"
Rhode Island Greening,"Fairly tart, firm"
Holiday,"Sweet-tart, crisp, slow to brown"
Golden Delicious,"Sweet, crisp, juicy"
Shizuka,Sister of Mutsu
Mutsu 2.0,"Sweet-tart, crunchy, juicy"
Karmijn de Sonnaville,"Huge flavor, extremely sweet-tart"
Grimes Golden,"Sweet-tart, tangy"
NY 428,"Sweet-tart, juicy"
Red Delicious,"Sweet, juicy"
Hidden Rose,"Somewhat tart, crisp, red flesh"
Scruffy,"Scruffy appearance, but big flavor. Crunchy"
Crunch-A-Bunch,"Swee-tart, notes of tropical fruit"
Crimson Topaz,"Sweet and tart, very crunchy"
King Luscious,"Sweet, tart, crisp"
Idared,"Tart, firm"
Melrose,"Crunchy, excellent sweet-tart balance, juicy"
Northern Spy,"Tart, crunchy"
Esopus Spitzenburg,"Sweet-tart, juicy, crisp"
White Winter Pearmain,"Rich, balanced flavor, tender"
Candycrisp,"Sweet, pear-like flavor"
Enterprise,"Mildly tart, firm"
Ambrosia,"Sweet, floral notes"
Cameo,"Crunchy, excellent sweet flavor"
York Imperial,"Aromatic, tart, juicy"
Calville Blanc d'Hiver,"Tender, spicy, sweet"
Braeburn,"Sweet-tart, very crunchy"
Westfield Seek-No-Further,"Slightly tart, rich, juicy"
Golden Russet,"High sugar, tart, crunchy"
Ludacrisp,"Crunchy, juicy, fruit punch-like flavor"
Stayman Winesap,"Complex flavor, tart, firm"
Pink Lady,"Mild, nice crunch, juicy"
EverCrisp,"Sweet, very crunchy and juicy"
Granny Smith,"Tart, firm"
GoldRush,"Extremely sweet-tart, very crunchy"
