Variety,Description,Ripening Group,Uses
Yellow Transparent,"Tart, crisp",A - Early July,All-purpose
Lodi,"Tart, somewhat firm",A - Early July,"Baking, sauce"
Pristine,Sweet-tart,B - Mid-late July,All-purpose
Dandee Red,"Sweet-tart, semi-tender",C - Early August,"Eating, cooking"
Chenango Strawberry,"Mildly tart, hint of strawberry taste and aroma",D - Mid August,"Eating, sauce"
Sansa,"Sweet, crunchy, juicy",D - Mid August,Eating
Ginger Gold,"G. Delicious type, but tangier",D - Mid August,All-purpose
Zestar!,"Sweet-tart, crunchy, juicy",D - Mid August,"Eating, cooking"
St. Edmunds Pippin,"Juicy, crisp, rich flavor",D - Mid August,"Eating, cider"
Summer Rambo,"Juicy, tart, aromatic",E - Mid-late August,"Eating, sauce"
Honeycrisp,"Sweet-tart, very crunchy and juicy",E - Mid-late August,Eating
Burgundy,"Tart, crisp",F - Late Aug - early Sept,All-purpose
Summerset,"Sweet-tart, crisp, juicy",F - Late Aug - early Sept,Eating
Blondee,"Sweet, crunchy, juicy",F - Late Aug - early Sept,Eating
Gala,"Sweet, crisp",F - Late Aug - early Sept,Eating
Pink Pearl,"Sweet-tart, crisp, bright pink flesh",F - Late Aug - early Sept,All-purpose
Swiss Gourmet,"Sweet-tart, juicy",F - Late Aug - early Sept,All-purpose
Sweetie,"Sweet, crunchy",F - Late Aug - early Sept,Eating
Sunburst,"Sweet-tart, crispy, juicy",F - Late Aug - early Sept,All-purpose
Twenty Ounce,"Tender, juicy, tart",G - Early September,"Cooking, baking"
Golden Supreme,"Sweet, early G. Delicious type",G - Early September,"Eating, cooking"
Autumn Crisp,"Juicy, sweet-tart, slow to brown",G - Early September,"Eating, salads"
Crimson Crisp,"Crunchy, sweet, spicy",G - Early September,Eating
McIntosh,"Mildly tart, spicy, very tender",G - Early September,"Eating, cooking"
Rubinola,"Crisp, sweet-tart, doesn't brown",G - Early September,Eating
Cortland,"Mildly tart, tender, slow to brown",H - Mid September,Cooking
Jonathan,"Tart, firm",H - Mid September,"Eating, baking"
Jonagold,"Sweet-tart, crisp",H - Mid September,All-purpose
Fuji,"Sweet, very crunchy, juicy",H - Mid September,Eating
Erwin Bauer,"Tart, very crunchy, complex flavor",H - Mid September,All-purpose
Abbie's Apple,"Sweet-tart, crunchy, fruit punch-like flavor",I - Mid-late September,Eating
Crimson Gold,"Sweet-tart, crisp",I - Mid-late September,"Eating, baking"
King David,"Spicy, juicy, firm",I - Mid-late September,All-purpose
Pinova,"Sweet-tart, crisp, juicy",I - Mid-late September,All-purpose
Spigold,"Crunchy, sweet and tart",I - Mid-late September,All-purpose
Elstar,"Sweet-tart, crunchy",I - Late September,"Eating, cooking"
Empire,"Sweet, crisp, juicy",J - Late September,All-purpose
Rosalee,"Sweet, crunchy",J - Late September,Eating
Rhode Island Greening,"Fairly tart, firm",J - Late September,"Cooking, baking"
Holiday,"Sweet-tart, crisp, slow to brown",J - Late September,Eating
Golden Delicious,"Sweet, crisp, juicy",J - Late September,All-purpose
Shizuka,Sister of Mutsu,J - Late September,All-purpose
Mutsu 2.0,"Sweet-tart, crunchy, juicy",J - Late September,All-purpose
Karmijn de Sonnaville,"Huge flavor, extremely sweet-tart",J - Late September,"Eating, juice"
Grimes Golden,"Sweet-tart, tangy",J - Late September,All-purpose
NY 428,"Sweet-tart, juicy",J - Late September,All-purpose
Red Delicious,"Sweet, juicy",J - Late September,Eating
Hidden Rose,"Somewhat tart, crisp, red flesh",J - Late September,All-purpose
Scruffy,"Scruffy appearance, but big flavor. Crunchy",J - Late September,All-purpose
Crunch-A-Bunch,"Swee-tart, notes of tropical fruit",J - Late September,All-purpose
Crimson Topaz,"Sweet and tart, very crunchy",K - Late Sept - early Oct,"Eating, cooking"
King Luscious,"Sweet, tart, crisp",K - Late Sept -early Oct,"Eating, cooking"
Idared,"Tart, firm",K - Late Sept - early Oct,"Eating, baking"
Melrose,"Crunchy, excellent sweet-tart balance, juicy",K - Late Sept - early Oct,All-purpose
Northern Spy,"Tart, crunchy",K - Late Sept - early Oct,"Baking, sauce, cider"
Esopus Spitzenburg,"Sweet-tart, juicy, crisp",K - Late Sept - early Oct,"Eating, cider"
White Winter Pearmain,"Rich, balanced flavor, tender",L - Early October,Eating
Candycrisp,"Sweet, pear-like flavor",L - Early October,"Eating, baking"
Enterprise,"Mildly tart, firm",L - Early October,All-purpose
Ambrosia,"Sweet, floral notes",L - Early October,"Eating, cooking"
Cameo,"Crunchy, excellent sweet flavor",M - Early-mid October,Eating
York Imperial,"Aromatic, tart, juicy",M - Early-mid October,"Baking, dried"
Calville Blanc d'Hiver,"Tender, spicy, sweet",M - Early-mid October,"Eating, pastry"
Braeburn,"Sweet-tart, very crunchy",N - Mid October,Eating
Westfield Seek-No-Further,"Slightly tart, rich, juicy",N - Mid October,"Eating, dried"
Golden Russet,"High sugar, tart, crunchy",N - Mid October,All-purpose
Ludacrisp,"Crunchy, juicy, fruit punch-like flavor",N - Mid-October,Eating
Stayman Winesap,"Complex flavor, tart, firm",N - Mid October,"Baking, cooking"
Pink Lady,"Mild, nice crunch, juicy",N - Mid October,Eating
EverCrisp,"Sweet, very crunchy and juicy",O - Mid-late October,Eating
Granny Smith,"Tart, firm",P - Late October,"Cooking, baking"
GoldRush,"Extremely sweet-tart, very crunchy",P - Late October,All-purpose
